mandi_id,crop_id,crop_key,dataset_version
MND_3F94E23EB0A5,CRP_7CC27C59C145,urad,v0.1
MND_3F94E23EB0A5,CRP_CAA75103C53B,gram,v0.1
MND_3F94E23EB0A5,CRP_8F398886C326,sunflower,v0.1
MND_3F94E23EB0A5,CRP_69E399851C84,cotton,v0.1
MND_CB2E88CD3113,CRP_C7952894B2A5,moong,v0.1
MND_CB2E88CD3113,CRP_D955CA97E44D,maize,v0.1
MND_CB2E88CD3113,CRP_5ED728C2FA5D,tomato,v0.1
MND_CB2E88CD3113,CRP_DE6C334339AC,wheat,v0.1
MND_CB2E88CD3113,CRP_69E399851C84,cotton,v0.1
MND_CB2E88CD3113,CRP_CAA75103C53B,gram,v0.1
MND_CB2E88CD3113,CRP_BF35A2D3261F,cauliflower,v0.1
MND_CB2E88CD3113,CRP_288971671685,onion,v0.1
MND_CB2E88CD3113,CRP_28F945D9AC9C,bajra,v0.1
MND_CB2E88CD3113,CRP_E91C254AD588,potato,v0.1
MND_5C10FF171343,CRP_BF35A2D3261F,cauliflower,v0.1
MND_5C10FF171343,CRP_2554D1918FBC,paddy,v0.1
MND_5C10FF171343,CRP_D7A9EAD0B15C,barley,v0.1
MND_5C10FF171343,CRP_5ED728C2FA5D,tomato,v0.1
MND_5C10FF171343,CRP_E91C254AD588,potato,v0.1
MND_5C10FF171343,CRP_E2253B73169D,guar,v0.1
MND_5C10FF171343,CRP_69E399851C84,cotton,v0.1
MND_7491C25B20FE,CRP_28F945D9AC9C,bajra,v0.1
MND_7491C25B20FE,CRP_2554D1918FBC,paddy,v0.1
MND_7491C25B20FE,CRP_CAA75103C53B,gram,v0.1
MND_7491C25B20FE,CRP_D955CA97E44D,maize,v0.1
MND_7491C25B20FE,CRP_E2253B73169D,guar,v0.1
MND_7491C25B20FE,CRP_352B5B6699D8,mustard,v0.1
MND_7491C25B20FE,CRP_5ED728C2FA5D,tomato,v0.1
MND_9C5A213D03D2,CRP_BF35A2D3261F,cauliflower,v0.1
MND_9C5A213D03D2,CRP_28F945D9AC9C,bajra,v0.1
MND_9C5A213D03D2,CRP_E2253B73169D,guar,v0.1
MND_9C5A213D03D2,CRP_D955CA97E44D,maize,v0.1
MND_9C5A213D03D2,CRP_5ED728C2FA5D,tomato,v0.1
MND_9C5A213D03D2,CRP_352B5B6699D8,mustard,v0.1
MND_9C5A213D03D2,CRP_7CC27C59C145,urad,v0.1
MND_372DA5A01CDA,CRP_D955CA97E44D,maize,v0.1
MND_372DA5A01CDA,CRP_E2253B73169D,guar,v0.1
MND_372DA5A01CDA,CRP_BF35A2D3261F,cauliflower,v0.1
MND_372DA5A01CDA,CRP_7CC27C59C145,urad,v0.1
MND_372DA5A01CDA,CRP_5ED728C2FA5D,tomato,v0.1
MND_372DA5A01CDA,CRP_CAA75103C53B,gram,v0.1
MND_372DA5A01CDA,CRP_C7952894B2A5,moong,v0.1
MND_BBFD6D659730,CRP_B2E55E456CF4,sugarcane,v0.1
MND_BBFD6D659730,CRP_8F398886C326,sunflower,v0.1
MND_BBFD6D659730,CRP_C7952894B2A5,moong,v0.1
MND_BBFD6D659730,CRP_E2253B73169D,guar,v0.1
MND_BBFD6D659730,CRP_D955CA97E44D,maize,v0.1
MND_BBFD6D659730,CRP_352B5B6699D8,mustard,v0.1
MND_BBFD6D659730,CRP_BF35A2D3261F,cauliflower,v0.1
MND_07DDCCA966AE,CRP_288971671685,onion,v0.1
MND_07DDCCA966AE,CRP_CAA75103C53B,gram,v0.1
MND_07DDCCA966AE,CRP_DE6C334339AC,wheat,v0.1
MND_07DDCCA966AE,CRP_352B5B6699D8,mustard,v0.1
MND_07DDCCA966AE,CRP_C7952894B2A5,moong,v0.1
MND_07DDCCA966AE,CRP_2554D1918FBC,paddy,v0.1
MND_07DDCCA966AE,CRP_28F945D9AC9C,bajra,v0.1
MND_F02880680127,CRP_D955CA97E44D,maize,v0.1
MND_F02880680127,CRP_2554D1918FBC,paddy,v0.1
MND_F02880680127,CRP_5ED728C2FA5D,tomato,v0.1
MND_F02880680127,CRP_B2E55E456CF4,sugarcane,v0.1
MND_F02880680127,CRP_E2253B73169D,guar,v0.1
MND_F02880680127,CRP_DE6C334339AC,wheat,v0.1
MND_F02880680127,CRP_352B5B6699D8,mustard,v0.1
MND_4427C76F4F6F,CRP_E91C254AD588,potato,v0.1
MND_4427C76F4F6F,CRP_C7952894B2A5,moong,v0.1
MND_4427C76F4F6F,CRP_5ED728C2FA5D,tomato,v0.1
MND_4427C76F4F6F,CRP_7CC27C59C145,urad,v0.1
MND_4427C76F4F6F,CRP_BF35A2D3261F,cauliflower,v0.1
MND_4427C76F4F6F,CRP_69E399851C84,cotton,v0.1
MND_4427C76F4F6F,CRP_28F945D9AC9C,bajra,v0.1
MND_3F6468C86419,CRP_288971671685,onion,v0.1
MND_3F6468C86419,CRP_69E399851C84,cotton,v0.1
MND_3F6468C86419,CRP_28F945D9AC9C,bajra,v0.1
MND_3F6468C86419,CRP_C7952894B2A5,moong,v0.1
MND_3F6468C86419,CRP_8F398886C326,sunflower,v0.1
MND_3F6468C86419,CRP_D7A9EAD0B15C,barley,v0.1
MND_3F6468C86419,CRP_B2E55E456CF4,sugarcane,v0.1
MND_D400EAD28DB3,CRP_DE6C334339AC,wheat,v0.1
MND_D400EAD28DB3,CRP_2554D1918FBC,paddy,v0.1
MND_D400EAD28DB3,CRP_352B5B6699D8,mustard,v0.1
MND_D400EAD28DB3,CRP_B2E55E456CF4,sugarcane,v0.1
MND_D400EAD28DB3,CRP_D955CA97E44D,maize,v0.1
MND_D400EAD28DB3,CRP_CAA75103C53B,gram,v0.1
MND_D400EAD28DB3,CRP_C7952894B2A5,moong,v0.1
MND_D400EAD28DB3,CRP_69E399851C84,cotton,v0.1
MND_D400EAD28DB3,CRP_E91C254AD588,potato,v0.1
MND_D400EAD28DB3,CRP_5ED728C2FA5D,tomato,v0.1
MND_D400EAD28DB3,CRP_D7A9EAD0B15C,barley,v0.1
MND_D400EAD28DB3,CRP_8F398886C326,sunflower,v0.1
MND_DA6DF57ACFEE,CRP_5ED728C2FA5D,tomato,v0.1
MND_DA6DF57ACFEE,CRP_C7952894B2A5,moong,v0.1
MND_DA6DF57ACFEE,CRP_2554D1918FBC,paddy,v0.1
MND_DA6DF57ACFEE,CRP_D7A9EAD0B15C,barley,v0.1
MND_DA6DF57ACFEE,CRP_DE6C334339AC,wheat,v0.1
MND_DA6DF57ACFEE,CRP_69E399851C84,cotton,v0.1
MND_DA6DF57ACFEE,CRP_352B5B6699D8,mustard,v0.1
MND_DA6DF57ACFEE,CRP_8F398886C326,sunflower,v0.1
MND_DA6DF57ACFEE,CRP_B2E55E456CF4,sugarcane,v0.1
MND_DA6DF57ACFEE,CRP_D955CA97E44D,maize,v0.1
MND_D3D37BB2E2D7,CRP_352B5B6699D8,mustard,v0.1
MND_D3D37BB2E2D7,CRP_CAA75103C53B,gram,v0.1
MND_D3D37BB2E2D7,CRP_C7952894B2A5,moong,v0.1
MND_D3D37BB2E2D7,CRP_8F398886C326,sunflower,v0.1
MND_D3D37BB2E2D7,CRP_D955CA97E44D,maize,v0.1
MND_D3D37BB2E2D7,CRP_2554D1918FBC,paddy,v0.1
MND_D3D37BB2E2D7,CRP_DE6C334339AC,wheat,v0.1
MND_FE8D567E9001,CRP_DE6C334339AC,wheat,v0.1
MND_FE8D567E9001,CRP_5ED728C2FA5D,tomato,v0.1
MND_FE8D567E9001,CRP_8F398886C326,sunflower,v0.1
MND_FE8D567E9001,CRP_CAA75103C53B,gram,v0.1
MND_FE8D567E9001,CRP_D7A9EAD0B15C,barley,v0.1
MND_FE8D567E9001,CRP_2554D1918FBC,paddy,v0.1
MND_FE8D567E9001,CRP_D955CA97E44D,maize,v0.1
MND_FE8D567E9001,CRP_C7952894B2A5,moong,v0.1
MND_FE8D567E9001,CRP_69E399851C84,cotton,v0.1
MND_FE8D567E9001,CRP_E91C254AD588,potato,v0.1
MND_AE02C36E7ACD,CRP_2554D1918FBC,paddy,v0.1
MND_AE02C36E7ACD,CRP_5ED728C2FA5D,tomato,v0.1
MND_AE02C36E7ACD,CRP_E91C254AD588,potato,v0.1
MND_AE02C36E7ACD,CRP_69E399851C84,cotton,v0.1
MND_AE02C36E7ACD,CRP_C7952894B2A5,moong,v0.1
MND_AE02C36E7ACD,CRP_8F398886C326,sunflower,v0.1
MND_AE02C36E7ACD,CRP_B2E55E456CF4,sugarcane,v0.1
MND_AE02C36E7ACD,CRP_DE6C334339AC,wheat,v0.1
MND_AE02C36E7ACD,CRP_D955CA97E44D,maize,v0.1
MND_AE02C36E7ACD,CRP_352B5B6699D8,mustard,v0.1
MND_784599D2DCF5,CRP_D955CA97E44D,maize,v0.1
MND_784599D2DCF5,CRP_C7952894B2A5,moong,v0.1
MND_784599D2DCF5,CRP_69E399851C84,cotton,v0.1
MND_784599D2DCF5,CRP_DE6C334339AC,wheat,v0.1
MND_784599D2DCF5,CRP_CAA75103C53B,gram,v0.1
MND_784599D2DCF5,CRP_8F398886C326,sunflower,v0.1
MND_784599D2DCF5,CRP_352B5B6699D8,mustard,v0.1
MND_548773D47A30,CRP_DE6C334339AC,wheat,v0.1
MND_548773D47A30,CRP_B2E55E456CF4,sugarcane,v0.1
MND_548773D47A30,CRP_5ED728C2FA5D,tomato,v0.1
MND_548773D47A30,CRP_69E399851C84,cotton,v0.1
MND_548773D47A30,CRP_2554D1918FBC,paddy,v0.1
MND_548773D47A30,CRP_D955CA97E44D,maize,v0.1
MND_548773D47A30,CRP_C7952894B2A5,moong,v0.1
MND_9AE87167EF0F,CRP_5ED728C2FA5D,tomato,v0.1
MND_9AE87167EF0F,CRP_B2E55E456CF4,sugarcane,v0.1
MND_9AE87167EF0F,CRP_C7952894B2A5,moong,v0.1
MND_9AE87167EF0F,CRP_D955CA97E44D,maize,v0.1
MND_9AE87167EF0F,CRP_2554D1918FBC,paddy,v0.1
MND_9AE87167EF0F,CRP_E91C254AD588,potato,v0.1
MND_9AE87167EF0F,CRP_D7A9EAD0B15C,barley,v0.1
MND_E2F2E16B54CD,CRP_B2E55E456CF4,sugarcane,v0.1
MND_E2F2E16B54CD,CRP_E91C254AD588,potato,v0.1
MND_E2F2E16B54CD,CRP_D7A9EAD0B15C,barley,v0.1
MND_E2F2E16B54CD,CRP_2554D1918FBC,paddy,v0.1
MND_E2F2E16B54CD,CRP_C7952894B2A5,moong,v0.1
MND_E2F2E16B54CD,CRP_5ED728C2FA5D,tomato,v0.1
MND_E2F2E16B54CD,CRP_CAA75103C53B,gram,v0.1
MND_E2F2E16B54CD,CRP_69E399851C84,cotton,v0.1
MND_E2F2E16B54CD,CRP_DE6C334339AC,wheat,v0.1
MND_E2F2E16B54CD,CRP_8F398886C326,sunflower,v0.1
MND_46CD786BC585,CRP_B2E55E456CF4,sugarcane,v0.1
MND_46CD786BC585,CRP_D955CA97E44D,maize,v0.1
MND_46CD786BC585,CRP_DE6C334339AC,wheat,v0.1
MND_46CD786BC585,CRP_5ED728C2FA5D,tomato,v0.1
MND_46CD786BC585,CRP_2554D1918FBC,paddy,v0.1
MND_46CD786BC585,CRP_E91C254AD588,potato,v0.1
MND_46CD786BC585,CRP_C7952894B2A5,moong,v0.1
MND_BA2F125FAB06,CRP_D955CA97E44D,maize,v0.1
MND_BA2F125FAB06,CRP_D7A9EAD0B15C,barley,v0.1
MND_BA2F125FAB06,CRP_352B5B6699D8,mustard,v0.1
MND_BA2F125FAB06,CRP_CAA75103C53B,gram,v0.1
MND_BA2F125FAB06,CRP_5ED728C2FA5D,tomato,v0.1
MND_BA2F125FAB06,CRP_8F398886C326,sunflower,v0.1
MND_BA2F125FAB06,CRP_E91C254AD588,potato,v0.1
MND_DEA1CD5F415B,CRP_2554D1918FBC,paddy,v0.1
MND_DEA1CD5F415B,CRP_C7952894B2A5,moong,v0.1
MND_DEA1CD5F415B,CRP_8F398886C326,sunflower,v0.1
MND_DEA1CD5F415B,CRP_B2E55E456CF4,sugarcane,v0.1
MND_DEA1CD5F415B,CRP_69E399851C84,cotton,v0.1
MND_DEA1CD5F415B,CRP_D955CA97E44D,maize,v0.1
MND_DEA1CD5F415B,CRP_5ED728C2FA5D,tomato,v0.1
MND_596F86458307,CRP_352B5B6699D8,mustard,v0.1
MND_596F86458307,CRP_D955CA97E44D,maize,v0.1
MND_596F86458307,CRP_D7A9EAD0B15C,barley,v0.1
MND_596F86458307,CRP_DE6C334339AC,wheat,v0.1
MND_596F86458307,CRP_7CC27C59C145,urad,v0.1
MND_596F86458307,CRP_288971671685,onion,v0.1
MND_596F86458307,CRP_B2E55E456CF4,sugarcane,v0.1
MND_596F86458307,CRP_BF35A2D3261F,cauliflower,v0.1
MND_596F86458307,CRP_C7952894B2A5,moong,v0.1
MND_596F86458307,CRP_2554D1918FBC,paddy,v0.1
MND_4217655002FF,CRP_288971671685,onion,v0.1
MND_4217655002FF,CRP_D955CA97E44D,maize,v0.1
MND_4217655002FF,CRP_2554D1918FBC,paddy,v0.1
MND_4217655002FF,CRP_B2E55E456CF4,sugarcane,v0.1
MND_4217655002FF,CRP_352B5B6699D8,mustard,v0.1
MND_4217655002FF,CRP_4DDD4816119A,arhar,v0.1
MND_4217655002FF,CRP_C7952894B2A5,moong,v0.1
MND_4217655002FF,CRP_DE6C334339AC,wheat,v0.1
MND_4217655002FF,CRP_D7A9EAD0B15C,barley,v0.1
MND_4217655002FF,CRP_5ED728C2FA5D,tomato,v0.1
MND_2E59AF542C18,CRP_352B5B6699D8,mustard,v0.1
MND_2E59AF542C18,CRP_E91C254AD588,potato,v0.1
MND_2E59AF542C18,CRP_4DDD4816119A,arhar,v0.1
MND_2E59AF542C18,CRP_D955CA97E44D,maize,v0.1
MND_2E59AF542C18,CRP_B2E55E456CF4,sugarcane,v0.1
MND_2E59AF542C18,CRP_D7A9EAD0B15C,barley,v0.1
MND_2E59AF542C18,CRP_5ED728C2FA5D,tomato,v0.1
MND_05333875B51A,CRP_28F945D9AC9C,bajra,v0.1
MND_05333875B51A,CRP_2554D1918FBC,paddy,v0.1
MND_05333875B51A,CRP_352B5B6699D8,mustard,v0.1
MND_05333875B51A,CRP_B2E55E456CF4,sugarcane,v0.1
MND_05333875B51A,CRP_DE6C334339AC,wheat,v0.1
MND_05333875B51A,CRP_D955CA97E44D,maize,v0.1
MND_05333875B51A,CRP_5ED728C2FA5D,tomato,v0.1
MND_05333875B51A,CRP_288971671685,onion,v0.1
MND_05333875B51A,CRP_E91C254AD588,potato,v0.1
MND_05333875B51A,CRP_BF35A2D3261F,cauliflower,v0.1
MND_D5BFCB18509B,CRP_7CC27C59C145,urad,v0.1
MND_D5BFCB18509B,CRP_DE6C334339AC,wheat,v0.1
MND_D5BFCB18509B,CRP_2554D1918FBC,paddy,v0.1
MND_D5BFCB18509B,CRP_CAA75103C53B,gram,v0.1
MND_D5BFCB18509B,CRP_D7A9EAD0B15C,barley,v0.1
MND_D5BFCB18509B,CRP_C7952894B2A5,moong,v0.1
MND_D5BFCB18509B,CRP_5ED728C2FA5D,tomato,v0.1
MND_1BD2DF2540D5,CRP_C7952894B2A5,moong,v0.1
MND_1BD2DF2540D5,CRP_28F945D9AC9C,bajra,v0.1
MND_1BD2DF2540D5,CRP_7CC27C59C145,urad,v0.1
MND_1BD2DF2540D5,CRP_D955CA97E44D,maize,v0.1
MND_1BD2DF2540D5,CRP_352B5B6699D8,mustard,v0.1
MND_1BD2DF2540D5,CRP_B2E55E456CF4,sugarcane,v0.1
MND_1BD2DF2540D5,CRP_5ED728C2FA5D,tomato,v0.1
MND_316B3A33D09D,CRP_352B5B6699D8,mustard,v0.1
MND_316B3A33D09D,CRP_BF35A2D3261F,cauliflower,v0.1
MND_316B3A33D09D,CRP_C7952894B2A5,moong,v0.1
MND_316B3A33D09D,CRP_B2E55E456CF4,sugarcane,v0.1
MND_316B3A33D09D,CRP_D955CA97E44D,maize,v0.1
MND_316B3A33D09D,CRP_E91C254AD588,potato,v0.1
MND_316B3A33D09D,CRP_D7A9EAD0B15C,barley,v0.1
MND_316B3A33D09D,CRP_4DDD4816119A,arhar,v0.1
MND_316B3A33D09D,CRP_DE6C334339AC,wheat,v0.1
MND_316B3A33D09D,CRP_288971671685,onion,v0.1
MND_5B5C6B926181,CRP_28F945D9AC9C,bajra,v0.1
MND_5B5C6B926181,CRP_B2E55E456CF4,sugarcane,v0.1
MND_5B5C6B926181,CRP_E91C254AD588,potato,v0.1
MND_5B5C6B926181,CRP_5ED728C2FA5D,tomato,v0.1
MND_5B5C6B926181,CRP_2554D1918FBC,paddy,v0.1
MND_5B5C6B926181,CRP_DE6C334339AC,wheat,v0.1
MND_5B5C6B926181,CRP_352B5B6699D8,mustard,v0.1
MND_96D277426B8A,CRP_2554D1918FBC,paddy,v0.1
MND_96D277426B8A,CRP_352B5B6699D8,mustard,v0.1
MND_96D277426B8A,CRP_C7952894B2A5,moong,v0.1
MND_96D277426B8A,CRP_B2E55E456CF4,sugarcane,v0.1
MND_96D277426B8A,CRP_E91C254AD588,potato,v0.1
MND_96D277426B8A,CRP_7CC27C59C145,urad,v0.1
MND_96D277426B8A,CRP_288971671685,onion,v0.1
MND_B8828956892C,CRP_4DDD4816119A,arhar,v0.1
MND_B8828956892C,CRP_CAA75103C53B,gram,v0.1
MND_B8828956892C,CRP_28F945D9AC9C,bajra,v0.1
MND_B8828956892C,CRP_D7A9EAD0B15C,barley,v0.1
MND_B8828956892C,CRP_5ED728C2FA5D,tomato,v0.1
MND_B8828956892C,CRP_2554D1918FBC,paddy,v0.1
MND_B8828956892C,CRP_DE6C334339AC,wheat,v0.1
MND_9AC86A6D5AEC,CRP_D7A9EAD0B15C,barley,v0.1
MND_9AC86A6D5AEC,CRP_28F945D9AC9C,bajra,v0.1
MND_9AC86A6D5AEC,CRP_352B5B6699D8,mustard,v0.1
MND_9AC86A6D5AEC,CRP_5ED728C2FA5D,tomato,v0.1
MND_9AC86A6D5AEC,CRP_CAA75103C53B,gram,v0.1
MND_9AC86A6D5AEC,CRP_7CC27C59C145,urad,v0.1
MND_9AC86A6D5AEC,CRP_288971671685,onion,v0.1
MND_F0BDDB3CC08D,CRP_7CC27C59C145,urad,v0.1
MND_F0BDDB3CC08D,CRP_E91C254AD588,potato,v0.1
MND_F0BDDB3CC08D,CRP_288971671685,onion,v0.1
MND_F0BDDB3CC08D,CRP_B2E55E456CF4,sugarcane,v0.1
MND_F0BDDB3CC08D,CRP_CAA75103C53B,gram,v0.1
MND_F0BDDB3CC08D,CRP_C7952894B2A5,moong,v0.1
MND_F0BDDB3CC08D,CRP_D955CA97E44D,maize,v0.1
MND_F0BDDB3CC08D,CRP_BF35A2D3261F,cauliflower,v0.1
MND_F0BDDB3CC08D,CRP_DE6C334339AC,wheat,v0.1
MND_F0BDDB3CC08D,CRP_4DDD4816119A,arhar,v0.1
MND_301551655568,CRP_5ED728C2FA5D,tomato,v0.1
MND_301551655568,CRP_DE6C334339AC,wheat,v0.1
MND_301551655568,CRP_C7952894B2A5,moong,v0.1
MND_301551655568,CRP_352B5B6699D8,mustard,v0.1
MND_301551655568,CRP_28F945D9AC9C,bajra,v0.1
MND_301551655568,CRP_D955CA97E44D,maize,v0.1
MND_301551655568,CRP_7CC27C59C145,urad,v0.1
MND_301551655568,CRP_CAA75103C53B,gram,v0.1
MND_301551655568,CRP_E91C254AD588,potato,v0.1
MND_301551655568,CRP_288971671685,onion,v0.1
MND_EE2349EB6FB3,CRP_4DDD4816119A,arhar,v0.1
MND_EE2349EB6FB3,CRP_C7952894B2A5,moong,v0.1
MND_EE2349EB6FB3,CRP_D955CA97E44D,maize,v0.1
MND_EE2349EB6FB3,CRP_E91C254AD588,potato,v0.1
MND_EE2349EB6FB3,CRP_DE6C334339AC,wheat,v0.1
MND_EE2349EB6FB3,CRP_28F945D9AC9C,bajra,v0.1
MND_EE2349EB6FB3,CRP_2554D1918FBC,paddy,v0.1
MND_362E0E09CB0D,CRP_B2E55E456CF4,sugarcane,v0.1
MND_362E0E09CB0D,CRP_C7952894B2A5,moong,v0.1
MND_362E0E09CB0D,CRP_D7A9EAD0B15C,barley,v0.1
MND_362E0E09CB0D,CRP_4DDD4816119A,arhar,v0.1
MND_362E0E09CB0D,CRP_5ED728C2FA5D,tomato,v0.1
MND_362E0E09CB0D,CRP_2554D1918FBC,paddy,v0.1
MND_362E0E09CB0D,CRP_DE6C334339AC,wheat,v0.1
MND_954F0551D2D8,CRP_D955CA97E44D,maize,v0.1
MND_954F0551D2D8,CRP_E91C254AD588,potato,v0.1
MND_954F0551D2D8,CRP_28F945D9AC9C,bajra,v0.1
MND_954F0551D2D8,CRP_4DDD4816119A,arhar,v0.1
MND_C163C6E4A832,CRP_288971671685,onion,v0.1
MND_C163C6E4A832,CRP_28F945D9AC9C,bajra,v0.1
MND_C163C6E4A832,CRP_7CC27C59C145,urad,v0.1
MND_C163C6E4A832,CRP_352B5B6699D8,mustard,v0.1
