farmer_node_id,village_location_id,district,state_code,latitude,longitude,farm_size_ha,primary_crop_id,primary_crop_key,secondary_crop_id,secondary_crop_key,market_preference_mandi_id,road_access_km,is_synthetic,generation_method,seed,dataset_version
FRM_B33008FCBA64,LOC_E3C65AFE4C82,Hapur,UP,28.770926,77.65952,1.26,CRP_E91C254AD588,potato,CRP_2554D1918FBC,paddy,MND_596F86458307,0.475,True,agri_envelope_ring_v1,20260903,v0.1
FRM_1B86DF960F7F,LOC_C91136F7DA2D,Sambhal,UP,28.442132,78.5157,9.18,CRP_352B5B6699D8,mustard,CRP_E91C254AD588,potato,MND_B8828956892C,1.131,True,agri_envelope_ring_v1,20260903,v0.1
FRM_FFEA15224699,LOC_4AC8B3E2CC6B,Rampur,UP,28.711485,79.082828,1.15,CRP_4DDD4816119A,arhar,CRP_E91C254AD588,potato,MND_B8828956892C,2.137,True,agri_envelope_ring_v1,20260903,v0.1
FRM_BA905842067B,LOC_FBBDCE4D51BE,Hisar,HR,29.038266,76.001685,1.54,CRP_28F945D9AC9C,bajra,CRP_2554D1918FBC,paddy,MND_F02880680127,0.489,True,agri_envelope_ring_v1,20260903,v0.1
FRM_F2C1AD84FC41,LOC_E82DB40AE668,Shamli,UP,29.32222,77.439606,2.17,CRP_D955CA97E44D,maize,CRP_B2E55E456CF4,sugarcane,MND_C163C6E4A832,0.281,True,agri_envelope_ring_v1,20260903,v0.1
FRM_2E55BF8779AB,LOC_D24294F70C96,Shamli,UP,29.396968,77.4057,1.71,CRP_5ED728C2FA5D,tomato,CRP_352B5B6699D8,mustard,MND_283ED6EAAB84,0.767,True,agri_envelope_ring_v1,20260903,v0.1
FRM_1AA1AC84D5E7,LOC_71A0C74FD1A2,Baghpat,UP,28.86358,77.083088,1.69,CRP_28F945D9AC9C,bajra,CRP_5ED728C2FA5D,tomato,MND_1796B26F4DCC,0.343,True,agri_envelope_ring_v1,20260903,v0.1
FRM_3D70C3AB1473,LOC_A6232DB6ED9D,Prayagraj,UP,25.331636,82.006452,1.45,CRP_7CC27C59C145,urad,,,MND_EE2349EB6FB3,1.372,True,agri_envelope_ring_v1,20260903,v0.1
FRM_D380F8C0E12C,LOC_E4901F87FB92,Amroha,UP,28.899602,78.384503,1.12,CRP_2554D1918FBC,paddy,CRP_D955CA97E44D,maize,MND_B8828956892C,0.677,True,agri_envelope_ring_v1,20260903,v0.1
FRM_B5F5DA2645F7,LOC_BAD659FFF6D2,Mathura,UP,27.383994,77.650284,1.11,CRP_E91C254AD588,potato,CRP_2554D1918FBC,paddy,MND_BBFD6D659730,0.506,True,agri_envelope_ring_v1,20260903,v0.1
FRM_EC89B7C56DB3,LOC_2001428C34E3,Ferozepur,PB,30.94589,74.892567,6.12,CRP_8F398886C326,sunflower,,,MND_AE02C36E7ACD,0.796,True,agri_envelope_ring_v1,20260903,v0.1
FRM_51613D307C91,LOC_755E69FE5840,Shamli,UP,29.400161,77.37221,1.13,CRP_DE6C334339AC,wheat,CRP_D7A9EAD0B15C,barley,MND_C163C6E4A832,1.008,True,agri_envelope_ring_v1,20260903,v0.1
FRM_B4B02F645D64,LOC_E153757816AF,Nuh,HR,28.116814,76.903866,2.47,CRP_7CC27C59C145,urad,CRP_E2253B73169D,guar,MND_50FC19D7AEC4,1.075,True,agri_envelope_ring_v1,20260903,v0.1
FRM_301050D76310,LOC_53A43137CDA4,Nuh,HR,28.040607,76.973166,1.77,CRP_5ED728C2FA5D,tomato,CRP_288971671685,onion,MND_BBFD6D659730,0.654,True,agri_envelope_ring_v1,20260903,v0.1
FRM_37302D84DB05,LOC_7DFE95B957B4,Muzaffarnagar,UP,29.648556,77.882792,1.4,CRP_CAA75103C53B,gram,CRP_DE6C334339AC,wheat,MND_05333875B51A,2.192,True,agri_envelope_ring_v1,20260903,v0.1
FRM_E3BE926FF891,LOC_2DD8759B2434,Sirsa,HR,29.750479,74.842157,1.5,CRP_5ED728C2FA5D,tomato,CRP_E2253B73169D,guar,MND_AE02C36E7ACD,0.992,True,agri_envelope_ring_v1,20260903,v0.1
FRM_569E33779BB1,LOC_89FF3E5626BA,Baghpat,UP,28.895122,77.145558,1.07,CRP_D955CA97E44D,maize,CRP_2554D1918FBC,paddy,MND_1796B26F4DCC,0.985,True,agri_envelope_ring_v1,20260903,v0.1
FRM_F75B2250ECC9,LOC_3F3FE3682CCE,Kapurthala,PB,31.434438,75.574876,1.06,CRP_C7952894B2A5,moong,CRP_CAA75103C53B,gram,MND_46CD786BC585,0.2,True,agri_envelope_ring_v1,20260903,v0.1
FRM_02B1D627AC5F,LOC_4DF28344DC93,Malerkotla,PB,30.576314,75.769406,0.68,CRP_B2E55E456CF4,sugarcane,,,MND_DEA1CD5F415B,0.53,True,agri_envelope_ring_v1,20260903,v0.1
FRM_5D74457281A6,LOC_A9E61941B248,Rampur,UP,28.674853,78.861901,0.83,CRP_D955CA97E44D,maize,CRP_C7952894B2A5,moong,MND_B8828956892C,0.994,True,agri_envelope_ring_v1,20260903,v0.1
FRM_6DF7A002C46D,LOC_E9EBF9CE0D4B,Agra,UP,27.254876,77.870222,1.83,CRP_288971671685,onion,CRP_28F945D9AC9C,bajra,MND_316B3A33D09D,0.35,True,agri_envelope_ring_v1,20260903,v0.1
FRM_520809877004,LOC_23104BADCA84,Budaun,UP,28.06859,79.236533,1.18,CRP_BF35A2D3261F,cauliflower,CRP_288971671685,onion,MND_B8828956892C,0.78,True,agri_envelope_ring_v1,20260903,v0.1
FRM_5D4A6053A6FB,LOC_24994F2BB6C1,Tarn Taran,PB,31.553394,74.773362,1.82,CRP_DE6C334339AC,wheat,CRP_CAA75103C53B,gram,MND_E2F2E16B54CD,1.843,True,agri_envelope_ring_v1,20260903,v0.1
FRM_5BDAA2C4470E,LOC_DC13DD3AE2C9,Rohtak,HR,28.695796,76.707155,1.02,CRP_D955CA97E44D,maize,CRP_BF35A2D3261F,cauliflower,MND_372DA5A01CDA,1.265,True,agri_envelope_ring_v1,20260903,v0.1
FRM_FDC296A97914,LOC_EC72BC99600E,Patiala,PB,30.148519,76.469493,0.8,CRP_69E399851C84,cotton,,,MND_9C5A213D03D2,0.865,True,agri_envelope_ring_v1,20260903,v0.1
FRM_691A400C0703,LOC_1162988D1108,Gorakhpur,UP,26.663787,83.557152,0.98,CRP_28F945D9AC9C,bajra,CRP_B2E55E456CF4,sugarcane,MND_362E0E09CB0D,1.269,True,agri_envelope_ring_v1,20260903,v0.1
FRM_2D551100735F,LOC_1B0921645D5A,Bathinda,PB,30.070509,74.744441,3.38,CRP_C7952894B2A5,moong,CRP_352B5B6699D8,mustard,MND_BA2F125FAB06,2.339,True,agri_envelope_ring_v1,20260903,v0.1
FRM_74F89D9354DD,LOC_099DA3942A2D,Fazilka,PB,30.219223,74.004457,3.34,CRP_D955CA97E44D,maize,,,MND_AE02C36E7ACD,1.46,True,agri_envelope_ring_v1,20260903,v0.1
FRM_B1C1378ACBA3,LOC_12E2CEAA35E2,Hapur,UP,28.753167,77.694544,1.88,CRP_5ED728C2FA5D,tomato,CRP_BF35A2D3261F,cauliflower,MND_96D277426B8A,1.019,True,agri_envelope_ring_v1,20260903,v0.1
FRM_A65B1123D758,LOC_480CAA297FBD,Kanpur Dehat,UP,26.505332,79.870656,0.46,CRP_DE6C334339AC,wheat,CRP_7CC27C59C145,urad,MND_301551655568,0.444,True,agri_envelope_ring_v1,20260903,v0.1
FRM_B48BE577F3F5,LOC_A136E606D1EF,Bhiwani,HR,28.746373,76.275458,3.4,CRP_C7952894B2A5,moong,CRP_D955CA97E44D,maize,MND_F02880680127,0.27,True,agri_envelope_ring_v1,20260903,v0.1
FRM_D0B06EE64F9E,LOC_9EA68EF5F884,Palwal,HR,28.068342,77.468724,0.45,CRP_28F945D9AC9C,bajra,CRP_D955CA97E44D,maize,MND_BBFD6D659730,1.361,True,agri_envelope_ring_v1,20260903,v0.1
FRM_281FC71DECCB,LOC_E8F4B3A165CE,Faridkot,PB,30.486905,74.663812,9.22,CRP_B2E55E456CF4,sugarcane,,,MND_FE8D567E9001,0.398,True,agri_envelope_ring_v1,20260903,v0.1
FRM_1E9C955324BF,LOC_6C8CB2018F48,Rampur,UP,28.652062,79.027715,3.44,CRP_DE6C334339AC,wheat,,,MND_B8828956892C,1.276,True,agri_envelope_ring_v1,20260903,v0.1
FRM_B7F460DEB744,LOC_9D2F8358A79A,Shamli,UP,29.414455,77.310245,2.07,CRP_E91C254AD588,potato,,,MND_C163C6E4A832,0.126,True,agri_envelope_ring_v1,20260903,v0.1
FRM_9A2E57085399,LOC_B93ABC1A7A1E,Moga,PB,30.715825,75.284931,1.22,CRP_5ED728C2FA5D,tomato,CRP_69E399851C84,cotton,MND_FE8D567E9001,0.588,True,agri_envelope_ring_v1,20260903,v0.1
FRM_03C972E95D34,LOC_4EDE6D436356,Ambala,HR,30.249385,76.980737,1.45,CRP_69E399851C84,cotton,,,MND_3F6468C86419,0.799,True,agri_envelope_ring_v1,20260903,v0.1
FRM_79B408C31B8D,LOC_F48DBE1A3175,Mansa,PB,29.856543,75.359276,2.24,CRP_C7952894B2A5,moong,CRP_DE6C334339AC,wheat,MND_BA2F125FAB06,1.164,True,agri_envelope_ring_v1,20260903,v0.1
FRM_2D8541B77563,LOC_4F5C4100BBAD,Nawanshahr,PB,31.273145,76.020824,2.41,CRP_352B5B6699D8,mustard,CRP_C7952894B2A5,moong,MND_DA6DF57ACFEE,2.014,True,agri_envelope_ring_v1,20260903,v0.1
FRM_B41581243C72,LOC_726959C345DF,Fazilka,PB,30.240302,73.957559,0.83,CRP_5ED728C2FA5D,tomato,CRP_C7952894B2A5,moong,MND_AE02C36E7ACD,0.102,True,agri_envelope_ring_v1,20260903,v0.1
FRM_1B5354B99504,LOC_09356C6B58C9,Nawanshahr,PB,30.941842,76.242211,1.7,CRP_D955CA97E44D,maize,CRP_2554D1918FBC,paddy,MND_D400EAD28DB3,1.038,True,agri_envelope_ring_v1,20260903,v0.1
FRM_D5A7D5AAF293,LOC_E4750ED4564A,Hapur,UP,28.584583,77.863878,1.66,CRP_352B5B6699D8,mustard,CRP_5ED728C2FA5D,tomato,MND_96D277426B8A,1.017,True,agri_envelope_ring_v1,20260903,v0.1
FRM_61B941D753DB,LOC_9447DA7C958A,Fatehgarh Sahib,PB,30.681601,76.49468,0.83,CRP_E91C254AD588,potato,,,MND_D3D37BB2E2D7,1.23,True,agri_envelope_ring_v1,20260903,v0.1
FRM_0BFB5F2039DD,LOC_F300C0C87036,Faridkot,PB,30.521174,74.685651,0.76,CRP_D955CA97E44D,maize,CRP_69E399851C84,cotton,MND_AE02C36E7ACD,0.544,True,agri_envelope_ring_v1,20260903,v0.1
FRM_FDBC258C8292,LOC_FE9011588D59,Shahjahanpur,UP,27.816695,80.015194,1.05,CRP_28F945D9AC9C,bajra,CRP_7CC27C59C145,urad,MND_301551655568,0.39,True,agri_envelope_ring_v1,20260903,v0.1
FRM_2C27CD16BFE0,LOC_7F990C6BE303,Malerkotla,PB,30.527994,75.86684,1.45,CRP_DE6C334339AC,wheat,CRP_D955CA97E44D,maize,MND_548773D47A30,1.613,True,agri_envelope_ring_v1,20260903,v0.1
FRM_9502F53219A7,LOC_80F96B8B277C,Rampur,UP,28.650677,78.98423,0.72,CRP_BF35A2D3261F,cauliflower,CRP_28F945D9AC9C,bajra,MND_B8828956892C,0.126,True,agri_envelope_ring_v1,20260903,v0.1
FRM_B2A2357DA0C8,LOC_E9E991D04B95,Meerut,UP,28.877735,77.993574,1.33,CRP_352B5B6699D8,mustard,CRP_B2E55E456CF4,sugarcane,MND_96D277426B8A,1.344,True,agri_envelope_ring_v1,20260903,v0.1
FRM_A94805AE56FF,LOC_BE67611A99B4,Bulandshahr,UP,28.456164,77.840841,3.06,CRP_4DDD4816119A,arhar,,,MND_2E59AF542C18,0.233,True,agri_envelope_ring_v1,20260903,v0.1
FRM_91EB88AAA9A5,LOC_1DDDFDAEE94A,Sonipat,HR,29.047144,77.197247,1.89,CRP_28F945D9AC9C,bajra,CRP_288971671685,onion,MND_538E435A4360,0.077,True,agri_envelope_ring_v1,20260903,v0.1
FRM_04BF3CAD14E7,LOC_D3625EF562B9,Budaun,UP,28.184277,79.18656,0.54,CRP_28F945D9AC9C,bajra,CRP_2554D1918FBC,paddy,MND_9AC86A6D5AEC,1.211,True,agri_envelope_ring_v1,20260903,v0.1
FRM_B9C17FEEE92F,LOC_DFDF67D49C6B,Sangrur,PB,30.416342,75.593259,3.4,CRP_2554D1918FBC,paddy,CRP_69E399851C84,cotton,MND_DEA1CD5F415B,1.538,True,agri_envelope_ring_v1,20260903,v0.1
FRM_D4E625B4B32C,LOC_0163623C3753,Barnala,PB,30.233898,75.519991,1.45,CRP_B2E55E456CF4,sugarcane,,,MND_DEA1CD5F415B,0.51,True,agri_envelope_ring_v1,20260903,v0.1
FRM_24FD0B038F29,LOC_30566802A547,Etawah,UP,26.872099,78.77102,1.26,CRP_288971671685,onion,CRP_7CC27C59C145,urad,MND_316B3A33D09D,0.865,True,agri_envelope_ring_v1,20260903,v0.1
FRM_B63540B3EA02,LOC_6ECB487D5CF7,Hoshiarpur,PB,31.488584,75.725238,6.08,CRP_352B5B6699D8,mustard,CRP_69E399851C84,cotton,MND_46CD786BC585,1.018,True,agri_envelope_ring_v1,20260903,v0.1
FRM_943029C5FAAD,LOC_DF0C862C6CFE,Hisar,HR,29.092167,75.974364,0.33,CRP_D955CA97E44D,maize,,,MND_CB2E88CD3113,1.504,True,agri_envelope_ring_v1,20260903,v0.1
FRM_35E4ABE6CD30,LOC_F2720701A610,Meerut,UP,28.922554,77.911242,2.26,CRP_D955CA97E44D,maize,,,MND_596F86458307,1.052,True,agri_envelope_ring_v1,20260903,v0.1
FRM_F961E592FD85,LOC_6A6522ECAF15,Kanpur Nagar,UP,26.487307,80.150954,2.61,CRP_BF35A2D3261F,cauliflower,CRP_DE6C334339AC,wheat,MND_301551655568,0.96,True,agri_envelope_ring_v1,20260903,v0.1
FRM_68B7E13FD36A,LOC_99235E34344C,Faridkot,PB,30.545384,74.89949,0.99,CRP_352B5B6699D8,mustard,CRP_69E399851C84,cotton,MND_AE02C36E7ACD,0.833,True,agri_envelope_ring_v1,20260903,v0.1
FRM_F996FD6F9FC6,LOC_F02DB64FEDB9,Jind,HR,29.301871,76.039493,1.0,CRP_E2253B73169D,guar,CRP_352B5B6699D8,mustard,MND_07DDCCA966AE,0.724,True,agri_envelope_ring_v1,20260903,v0.1
FRM_968BC40555D1,LOC_1FC99A17CD93,Panchkula,HR,30.835235,76.921112,1.2,CRP_E2253B73169D,guar,CRP_8F398886C326,sunflower,MND_D3D37BB2E2D7,1.074,True,agri_envelope_ring_v1,20260903,v0.1
FRM_988E23D3E0BB,LOC_C2DF33543F22,Mainpuri,UP,27.297639,79.251547,0.72,CRP_28F945D9AC9C,bajra,CRP_B2E55E456CF4,sugarcane,MND_9AC86A6D5AEC,0.338,True,agri_envelope_ring_v1,20260903,v0.1
FRM_6C218504DF71,LOC_DD6C3D8ADB09,Patiala,PB,30.206498,76.580076,1.65,CRP_8F398886C326,sunflower,CRP_D7A9EAD0B15C,barley,MND_9C5A213D03D2,1.171,True,agri_envelope_ring_v1,20260903,v0.1
FRM_FD77ED4F9099,LOC_0996F6BD75B6,Bijnor,UP,29.339803,78.144101,1.45,CRP_352B5B6699D8,mustard,CRP_2554D1918FBC,paddy,MND_05333875B51A,2.168,True,agri_envelope_ring_v1,20260903,v0.1
FRM_B04FD884D6B9,LOC_6E5437ECF9D5,Muktsar,PB,30.626155,74.67309,0.73,CRP_B2E55E456CF4,sugarcane,CRP_D955CA97E44D,maize,MND_AE02C36E7ACD,0.451,True,agri_envelope_ring_v1,20260903,v0.1
FRM_8A305AF72410,LOC_5352866B41D8,Palwal,HR,28.091429,77.390768,1.78,CRP_28F945D9AC9C,bajra,CRP_352B5B6699D8,mustard,MND_BBFD6D659730,0.547,True,agri_envelope_ring_v1,20260903,v0.1
FRM_BD386CB85887,LOC_42C9C04CE554,Sitapur,UP,27.358548,80.673366,2.25,CRP_352B5B6699D8,mustard,CRP_BF35A2D3261F,cauliflower,MND_954F0551D2D8,0.139,True,agri_envelope_ring_v1,20260903,v0.1
FRM_B05BB2D61AE3,LOC_726959C345DF,Fazilka,PB,30.267298,73.934009,1.58,CRP_5ED728C2FA5D,tomato,CRP_D7A9EAD0B15C,barley,MND_AE02C36E7ACD,1.301,True,agri_envelope_ring_v1,20260903,v0.1
FRM_24980EF0899B,LOC_55F9B34C658A,Sambhal,UP,28.524095,78.376911,4.86,CRP_D7A9EAD0B15C,barley,CRP_2554D1918FBC,paddy,MND_B8828956892C,1.034,True,agri_envelope_ring_v1,20260903,v0.1
FRM_CF3C2498E023,LOC_FB4DA877B4E7,Mathura,UP,27.600513,77.531781,1.39,CRP_4DDD4816119A,arhar,CRP_D955CA97E44D,maize,MND_BBFD6D659730,1.886,True,agri_envelope_ring_v1,20260903,v0.1
FRM_CFCF1B67B507,LOC_011D3FFD0D7A,Jind,HR,29.547408,76.456621,1.74,CRP_352B5B6699D8,mustard,CRP_28F945D9AC9C,bajra,MND_7491C25B20FE,1.116,True,agri_envelope_ring_v1,20260903,v0.1
FRM_352664C514D6,LOC_7722E66AA1E4,Shahjahanpur,UP,27.936455,79.882994,1.35,CRP_CAA75103C53B,gram,CRP_B2E55E456CF4,sugarcane,MND_9AC86A6D5AEC,1.407,True,agri_envelope_ring_v1,20260903,v0.1
FRM_3895037B1E4B,LOC_D31A2E25FC78,Bareilly,UP,28.485733,79.574131,0.58,CRP_7CC27C59C145,urad,CRP_BF35A2D3261F,cauliflower,MND_9AC86A6D5AEC,0.193,True,agri_envelope_ring_v1,20260903,v0.1
FRM_7516DF2BD2AB,LOC_5A121ABD68FC,Baghpat,UP,28.965364,77.402942,2.5,CRP_352B5B6699D8,mustard,CRP_D955CA97E44D,maize,MND_4217655002FF,0.789,True,agri_envelope_ring_v1,20260903,v0.1
FRM_188C8E5A5A89,LOC_4070FA2E3B2C,Nawanshahr,PB,30.962748,76.187573,3.74,CRP_5ED728C2FA5D,tomato,,,MND_D400EAD28DB3,0.893,True,agri_envelope_ring_v1,20260903,v0.1
FRM_E4F470192FC3,LOC_BC441C1982A8,Hathras,UP,27.51893,78.148355,2.23,CRP_E91C254AD588,potato,CRP_DE6C334339AC,wheat,MND_316B3A33D09D,2.186,True,agri_envelope_ring_v1,20260903,v0.1
FRM_5CEFE7A72F53,LOC_5ED96B91B910,Baghpat,UP,29.097044,77.122478,2.49,CRP_352B5B6699D8,mustard,CRP_D955CA97E44D,maize,MND_538E435A4360,1.441,True,agri_envelope_ring_v1,20260903,v0.1
FRM_AB22708DA5B6,LOC_ED1659E61382,Muzaffarnagar,UP,29.671137,77.788814,0.83,CRP_7CC27C59C145,urad,CRP_DE6C334339AC,wheat,MND_05333875B51A,0.286,True,agri_envelope_ring_v1,20260903,v0.1
FRM_73F717A2C636,LOC_241DA091A28B,Muktsar,PB,30.27203,74.386822,5.6,CRP_D955CA97E44D,maize,CRP_D7A9EAD0B15C,barley,MND_AE02C36E7ACD,0.483,True,agri_envelope_ring_v1,20260903,v0.1
FRM_0057A6442553,LOC_598C5C7B65F9,Palwal,HR,28.221987,77.137166,0.85,CRP_BF35A2D3261F,cauliflower,CRP_8F398886C326,sunflower,MND_BBFD6D659730,1.39,True,agri_envelope_ring_v1,20260903,v0.1
FRM_1F094266A7C6,LOC_AF7AE44CC5C7,Unnao,UP,26.588487,80.555449,1.33,CRP_352B5B6699D8,mustard,CRP_7CC27C59C145,urad,MND_F0BDDB3CC08D,1.571,True,agri_envelope_ring_v1,20260903,v0.1
FRM_E92683CEFCB7,LOC_679EA7BE4A16,Baghpat,UP,28.903041,77.373791,1.03,CRP_5ED728C2FA5D,tomato,CRP_352B5B6699D8,mustard,MND_4217655002FF,0.514,True,agri_envelope_ring_v1,20260903,v0.1
FRM_7C5B9CAA4FA4,LOC_1DCE8D81B91E,Fazilka,PB,30.161868,73.994914,3.35,CRP_5ED728C2FA5D,tomato,,,MND_AE02C36E7ACD,0.071,True,agri_envelope_ring_v1,20260903,v0.1
FRM_379613C510B9,LOC_B6FF5DEFE6BE,Malerkotla,PB,30.467096,75.990688,0.78,CRP_69E399851C84,cotton,CRP_E91C254AD588,potato,MND_548773D47A30,0.533,True,agri_envelope_ring_v1,20260903,v0.1
FRM_CD3C50B20E02,LOC_EEA297E34182,Mainpuri,UP,27.077384,78.936921,0.22,CRP_C7952894B2A5,moong,CRP_CAA75103C53B,gram,MND_316B3A33D09D,0.572,True,agri_envelope_ring_v1,20260903,v0.1
FRM_D1A1441E3465,LOC_1A9C7ACA9394,Saharanpur,UP,29.895177,77.819133,1.16,CRP_4DDD4816119A,arhar,,,MND_D5BFCB18509B,0.987,True,agri_envelope_ring_v1,20260903,v0.1
FRM_4C62847FE0E6,LOC_8730AA17B1A5,Bareilly,UP,28.248246,79.628239,1.07,CRP_D7A9EAD0B15C,barley,CRP_4DDD4816119A,arhar,MND_9AC86A6D5AEC,1.394,True,agri_envelope_ring_v1,20260903,v0.1
FRM_1FD296C60173,LOC_C8250E20BC21,Kanpur Nagar,UP,26.518647,80.099392,2.16,CRP_7CC27C59C145,urad,CRP_B2E55E456CF4,sugarcane,MND_F0BDDB3CC08D,1.508,True,agri_envelope_ring_v1,20260903,v0.1
