request_id,requester_type,requester_id,origin_location_id,destination_mandi_id,destination_shop_id,crop_id,crop_key,quantity_value,quantity_unit,quantity_kg,bag_weight_kg_used,conversion_source,conversion_confidence,pickup_earliest,pickup_latest,delivery_latest,priority,input_language,input_mode,raw_utterance,template_family,parsed_crop_conf,parsed_mandi_conf,parsed_quantity_conf,label_crop_key,label_mandi_key,label_quantity_value,label_quantity_unit,is_incomplete,missing_field,feasibility_label,infeasible_reason,district,state_code,request_date,is_synthetic,dataset_version,split,split_reason
REQ_5441819FAB2E,farmer,FRM_2B62956AA5E9,LOC_0AB874E17FA3,MND_A59F6598A624,,CRP_B2E55E456CF4,sugarcane,400.0,quintal,40000.0,,definitional,exact,2026-01-09T06:00:00,2026-01-09T12:22:21.882064,2026-01-10T04:59:44.066651,normal,en,text,"please arrange transport, 400 quintals sugarcane",TF_POLITE_REQUEST,0.95,0.0,0.95,sugarcane,,400.0,quintal,True,mandi,infeasible,exceeds_max_fleet_capacity,Palwal,HR,2026-01-09,True,v0.1,train,random_bucket
REQ_3F094F695A89,farmer,FRM_DA9E26146BE1,LOC_D879F644CD06,MND_DEA1CD5F415B,,CRP_352B5B6699D8,mustard,21.9,quintal,2190.0,,definitional,exact,2026-03-13T05:00:00,2026-03-13T12:48:55.218432,2026-03-14T17:09:14.261644,high,hinglish,text,truck chahiye sarsoo 21.9 quintal बरनाला,TF_TRUCK_FIRST,0.95,0.95,0.95,mustard,barnala,21.9,quintal,False,,feasible,,Sangrur,PB,2026-03-13,True,v0.1,validation,random_bucket
REQ_A356E7647DFF,farmer,FRM_CFB0A0D22E91,LOC_FB02B6D63A44,MND_2E59AF542C18,,CRP_2554D1918FBC,paddy,64.0,bori,2560.0,40.0,crop_default:paddy,crop_default,2026-09-24T12:00:00,2026-09-24T14:30:03.684701,2026-09-24T19:11:21.101902,normal,hinglish,voice,64 bag dhann bulandshehar,TF_QTY_CROP_MANDI,0.95,0.95,0.95,paddy,bulandshahr,64.0,bori,False,,feasible,,Bulandshahr,UP,2026-09-24,True,v0.1,test,holdout_district
REQ_18517AA1786D,farmer,FRM_FD04F17D7E24,LOC_6B8957344869,MND_D5BFCB18509B,,CRP_4DDD4816119A,arhar,26.0,bori,1300.0,50.0,crop_default:arhar,crop_default,2026-11-09T11:00:00,2026-11-09T19:16:40.144357,2026-11-10T03:40:46.978731,high,hi,voice,अरहर 26बोरी saharanpur mandi,TF_TERSE,0.95,0.95,0.95,arhar,saharanpur,26.0,bori,False,,feasible,,Saharanpur,UP,2026-11-09,True,v0.1,test,holdout_template_family
REQ_085910E970BB,farmer,FRM_9198726F2077,LOC_9D42CBEB8139,MND_DA6DF57ACFEE,,CRP_2554D1918FBC,paddy,92.0,quintal,9200.0,,definitional,exact,2026-10-06T14:00:00,2026-10-06T21:55:05.335588,2026-10-07T15:00:36.582833,normal,hi,voice,"चावल धान, ludhiana mandi मंडी, ९२ कुंतल",TF_CROP_MANDI_QTY,0.95,0.95,0.95,paddy,ludhiana,92.0,quintal,False,,feasible,,Nawanshahr,PB,2026-10-06,True,v0.1,train,random_bucket
REQ_E72D4D79EFB4,farmer,FRM_845A2D19552A,LOC_FBD8B8C69D2E,MND_DEA1CD5F415B,,CRP_B2E55E456CF4,sugarcane,89.4,quintal,8940.0,,definitional,exact,2026-12-11T13:00:00,2026-12-11T15:55:01.161909,2026-12-12T15:23:01.106954,high,hinglish,text,truck chahiye ikh 89.4 kuntal barnala,TF_TRUCK_FIRST,0.95,0.95,0.95,sugarcane,barnala,89.4,quintal,False,,feasible,,Malerkotla,PB,2026-12-11,True,v0.1,test,holdout_time
REQ_73564E69D9BD,farmer,FRM_674FC66F3B62,LOC_F601A596D94C,MND_96D277426B8A,,CRP_D7A9EAD0B15C,barley,11.0,bori,550.0,50.0,crop_default:barley,crop_default,2026-05-17T09:00:00,2026-05-17T12:33:50.725505,2026-05-17T18:34:20.612396,normal,hi,voice,११ बोरी जौ hapur भेजना है,TF_QTY_CROP_MANDI,0.95,0.95,0.95,barley,hapur,11.0,bori,False,,feasible,,Hapur,UP,2026-05-17,True,v0.1,train,random_bucket
REQ_AD4769172682,farmer,FRM_988E23D3E0BB,LOC_C2DF33543F22,MND_9AC86A6D5AEC,,CRP_28F945D9AC9C,bajra,17.0,bori,850.0,50.0,crop_default:bajra,crop_default,2026-11-11T05:00:00,2026-11-11T10:18:24.743772,2026-11-11T15:23:03.642285,high,hi,voice,vareli बाजरा 17 बोरा,TF_MANDI_CROP_QTY,0.622,0.615,0.95,bajra,bareilly,17.0,bori,False,,feasible,,Mainpuri,UP,2026-11-11,True,v0.1,train,random_bucket
REQ_BA8E081FF5D4,farmer,FRM_4BF28C8F8739,LOC_21FD7D4E72BA,MND_DEA1CD5F415B,,CRP_CAA75103C53B,gram,41.4,quintal,4140.0,,definitional,exact,2026-05-09T12:00:00,2026-05-09T21:54:04.624102,2026-05-10T18:15:17.613525,normal,hi,voice,varnala चना 41.4 क्विंटल,TF_MANDI_CROP_QTY,0.593,0.64,0.95,gram,barnala,41.4,quintal,False,,feasible,,Muktsar,PB,2026-05-09,True,v0.1,test,random_bucket
REQ_A8214A8E7328,farmer,FRM_73F717A2C636,LOC_241DA091A28B,MND_AE02C36E7ACD,,CRP_D7A9EAD0B15C,barley,69.0,bori,3450.0,50.0,crop_default:barley,crop_default,2026-03-07T07:00:00,2026-03-07T14:43:32.124883,2026-03-08T06:25:08.213723,normal,hinglish,voice,barley 69bag bathinda mandi,TF_TERSE,0.95,0.95,0.95,barley,bathinda,69.0,bori,False,,feasible,,Muktsar,PB,2026-03-07,True,v0.1,test,holdout_template_family
REQ_9A6EE00A89B5,farmer,FRM_62049B65E7C3,LOC_94C5F18C34D8,MND_AE02C36E7ACD,,CRP_8F398886C326,sunflower,23.0,bori,920.0,40.0,crop_default:sunflower,crop_default,2026-06-25T10:00:00,2026-06-25T16:59:11.682374,2026-06-25T21:29:35.058155,normal,hi,voice,23 बोरी सूरजमुखी बठिंडा भेजना है,TF_QTY_CROP_MANDI,0.95,0.95,0.95,sunflower,bathinda,23.0,bori,False,,feasible,,Mansa,PB,2026-06-25,True,v0.1,train,random_bucket
REQ_D1E40D8CF677,farmer,FRM_DA9E26146BE1,LOC_D879F644CD06,MND_DEA1CD5F415B,,CRP_B2E55E456CF4,sugarcane,40.0,tonne,40000.0,,definitional,exact,2026-12-23T07:00:00,2026-12-23T11:00:05.014469,2026-12-24T11:39:01.317994,normal,hi,text,गन्ने 40टन barnala,TF_TERSE,0.95,0.95,0.95,sugarcane,barnala,40.0,tonne,False,,infeasible,exceeds_max_fleet_capacity,Sangrur,PB,2026-12-23,True,v0.1,test,holdout_time
REQ_EBB4A1F31172,farmer,FRM_00FAC27C5215,LOC_D7E16EE1F662,MND_2E59AF542C18,,CRP_D7A9EAD0B15C,barley,6.8,quintal,680.0,,definitional,exact,2026-05-22T07:00:00,2026-05-22T12:59:26.161344,2026-05-22T20:48:07.553232,high,hinglish,text,jow 6.8quintals bulandshhahr,TF_TERSE,0.95,0.688,0.95,barley,bulandshahr,6.8,quintal,False,,feasible,,Budaun,UP,2026-05-22,True,v0.1,test,holdout_template_family
REQ_952302094D68,farmer,FRM_452A9BE4282A,LOC_338FF998CEF1,MND_46CD786BC585,,CRP_B2E55E456CF4,sugarcane,25.79,tonne,25790.0,,definitional,exact,2026-12-07T10:00:00,2026-12-07T16:49:18.884764,2026-12-08T14:01:01.718550,normal,hi,voice,गन्ना 25.79टन जालंधर,TF_TERSE,0.766,0.95,0.799,sugarcane,jalandhar,25.79,tonne,False,,feasible,,Amritsar,PB,2026-12-07,True,v0.1,test,holdout_time
REQ_E5E9B82427AF,farmer,FRM_22BDE267017E,LOC_CDA68219EB34,MND_BBFD6D659730,,CRP_C7952894B2A5,moong,2.1,quintal,210.0,,definitional,exact,2026-06-04T09:00:00,2026-06-04T18:14:34.320049,2026-06-05T05:09:00.144640,high,hi,text,मूंग palwal mandi,TF_CROP_MANDI_QTY,0.95,0.95,0.0,moong,palwal,,,True,quantity,ambiguous,missing_quantity,Aligarh,UP,2026-06-04,True,v0.1,train,random_bucket
REQ_73A907862A6E,farmer,FRM_5FEC4BD3EFCB,LOC_6B5A4CB9C136,MND_316B3A33D09D,,CRP_28F945D9AC9C,bajra,9.9,quintal,990.0,,definitional,exact,2026-09-15T06:00:00,2026-09-15T13:10:52.383814,2026-09-16T04:13:04.862083,normal,hi,text,9.9 कुंतल बाजरी आगरा भेजना है,TF_QTY_CROP_MANDI,0.95,0.95,0.95,bajra,agra,9.9,quintal,False,,feasible,,Agra,UP,2026-09-15,True,v0.1,train,random_bucket
REQ_77A790C4EE5D,farmer,FRM_10019CFE07E6,LOC_F268A161941B,MND_C163C6E4A832,,CRP_7CC27C59C145,urad,4.2,quintal,420.0,,definitional,exact,2026-10-25T08:00:00,2026-10-25T11:47:27.903675,2026-10-26T05:54:51.591420,high,hi,voice,कृपया 4.2 क्विंटल उरद शामली पहुंचाइए,TF_POLITE_REQUEST,0.95,0.95,0.95,urad,shamli,4.2,quintal,False,,feasible,,Shamli,UP,2026-10-25,True,v0.1,validation,random_bucket
REQ_F41AA1D45D61,farmer,FRM_03C972E95D34,LOC_4EDE6D436356,MND_3F6468C86419,,CRP_69E399851C84,cotton,11.9,quintal,1190.0,,definitional,exact,2026-10-01T14:00:00,2026-10-01T19:59:33.636260,2026-10-02T03:20:53.934530,high,hinglish,voice,"cotten, अंबाला, 11.9 qtl",TF_CROP_MANDI_QTY,0.95,0.95,0.95,cotton,ambala,11.9,quintal,False,,feasible,,Ambala,HR,2026-10-01,True,v0.1,train,random_bucket
REQ_47F9E8860393,farmer,FRM_2EFAA966E34E,LOC_74A4E8ADE918,MND_DA6DF57ACFEE,,CRP_352B5B6699D8,mustard,160.0,kg,160.0,,definitional,exact,2026-05-24T05:00:00,2026-05-24T08:30:14.367633,2026-05-25T10:25:42.683501,low,hinglish,text,ludhiana mandi sarso 160 kg,TF_MANDI_CROP_QTY,0.95,0.95,0.95,mustard,ludhiana,160.0,kg,False,,feasible,,Ludhiana,PB,2026-05-24,True,v0.1,train,random_bucket
REQ_0C1911938B95,farmer,FRM_EB9E8EEEAF59,LOC_CB66245203A1,MND_D5BFCB18509B,,CRP_2554D1918FBC,paddy,40.0,bori,1600.0,40.0,crop_default:paddy,crop_default,2026-11-04T14:00:00,2026-11-04T16:45:04.051760,2026-11-05T10:47:17.647291,normal,en,text,rice paddy 40sacks सहारनपुर,TF_TERSE,0.95,0.95,0.95,paddy,saharanpur,40.0,bori,False,,feasible,,Saharanpur,UP,2026-11-04,True,v0.1,test,holdout_template_family
REQ_336400E2EDE8,farmer,FRM_A801B74EB84A,LOC_046BA1419F25,MND_F02880680127,,CRP_B2E55E456CF4,sugarcane,400.0,quintal,40000.0,,definitional,exact,2026-02-02T13:00:00,2026-02-02T18:31:50.231335,2026-02-03T14:58:30.936751,low,en,text,"please arrange transport, 400 qtl , bhiwani mandi",TF_POLITE_REQUEST,0.0,0.95,0.95,,bhiwani,400.0,quintal,True,crop,infeasible,exceeds_max_fleet_capacity,Mahendragarh,HR,2026-02-02,True,v0.1,train,random_bucket
REQ_C780E15214FE,farmer,FRM_372EB813932C,LOC_A6EF33DFC1A1,MND_AE02C36E7ACD,,CRP_E91C254AD588,potato,2.68,tonne,2680.0,,definitional,exact,2026-03-18T12:00:00,2026-03-18T18:15:15.572162,2026-03-19T20:28:38.434066,normal,hi,text,bathinda mandi आलु २.६८ टन,TF_MANDI_CROP_QTY,0.95,0.95,0.95,potato,bathinda,2.68,tonne,False,,feasible,,Fazilka,PB,2026-03-18,True,v0.1,validation,random_bucket
REQ_6C49F78236B2,farmer,FRM_5A804BD37849,LOC_10C047BB160A,MND_9AC86A6D5AEC,,CRP_CAA75103C53B,gram,8.4,quintal,840.0,,definitional,exact,2026-05-18T13:00:00,2026-05-18T18:57:11.214003,2026-05-19T04:22:07.027070,normal,hi,text,8.4 कुंतल चणा bareilly भेजना है,TF_QTY_CROP_MANDI,0.95,0.95,0.95,gram,bareilly,8.4,quintal,False,,feasible,,Budaun,UP,2026-05-18,True,v0.1,train,random_bucket
REQ_1ED9F211CD80,farmer,FRM_B65BA612A01A,LOC_FB78B1ECE4B2,MND_DA6DF57ACFEE,,CRP_D7A9EAD0B15C,barley,9.6,quintal,960.0,,definitional,exact,2026-03-16T13:00:00,2026-03-16T20:30:43.134702,2026-03-17T03:01:48.056710,normal,en,voice,I need a truck for 9.6 kuntal barley to ludhiana mandi,TF_POLITE_REQUEST,0.95,0.478,0.95,barley,ludhiana,9.6,quintal,False,,feasible,,Malerkotla,PB,2026-03-16,True,v0.1,train,random_bucket
REQ_E2171647CCA3,farmer,FRM_7F8D7A6F07D5,LOC_AB81764C5081,MND_4427C76F4F6F,,CRP_E91C254AD588,potato,7.3,tonne,7300.0,,definitional,exact,2026-04-18T10:00:00,2026-04-18T15:47:54.551834,2026-04-19T01:22:42.976167,high,en,voice,I need a truck for 7.3 tons potatoe to fatehavad mandi,TF_POLITE_REQUEST,0.555,0.76,0.95,potato,fatehabad,7.3,tonne,False,,feasible,,Fatehabad,HR,2026-04-18,True,v0.1,train,random_bucket
REQ_49197913057F,farmer,FRM_C5AA6DC67087,LOC_67FE12ED9B92,MND_9AC86A6D5AEC,,CRP_352B5B6699D8,mustard,5.6,quintal,560.0,,definitional,exact,2026-04-23T06:00:00,2026-04-23T12:28:11.638127,2026-04-23T20:28:06.592687,normal,hinglish,text,sharsau 5.6quintals बरेली,TF_TERSE,0.625,0.95,0.95,mustard,bareilly,5.6,quintal,False,,feasible,,Sitapur,UP,2026-04-23,True,v0.1,test,holdout_template_family
REQ_42950C9A6A87,farmer,FRM_AA3C156EEB5D,LOC_5B535D3DF88E,MND_D5BFCB18509B,,CRP_CAA75103C53B,gram,3.0,bori,150.0,50.0,crop_default:gram,crop_default,2026-04-05T11:00:00,2026-04-05T17:43:29.433435,2026-04-06T04:41:01.775162,high,hinglish,text,3 bori channa saharanpur bhejna hai,TF_QTY_CROP_MANDI,0.95,0.95,0.95,gram,saharanpur,3.0,bori,False,,feasible,,Saharanpur,UP,2026-04-05,True,v0.1,train,random_bucket
REQ_D8DDC334D0CB,farmer,FRM_CF967B003967,LOC_2D33B60F9FA3,MND_5B5C6B926181,,CRP_D955CA97E44D,maize,2810.0,kg,2810.0,,definitional,exact,2026-11-03T12:00:00,2026-11-03T14:29:48.694046,2026-11-04T06:47:26.404061,normal,hi,voice,मथुरा भुट्टा 2810 किलोग्राम,TF_MANDI_CROP_QTY,0.765,0.95,0.95,maize,mathura,2810.0,kg,False,,feasible,,Mathura,UP,2026-11-03,True,v0.1,test,random_bucket
REQ_559015F560C2,farmer,FRM_A784EE30C70E,LOC_D6895D30FF85,MND_283ED6EAAB84,,CRP_D955CA97E44D,maize,200.0,kg,200.0,,definitional,exact,2026-11-21T09:00:00,2026-11-21T14:13:47.148819,2026-11-21T22:47:15.905362,normal,hinglish,text,gaadi bhejo पानीपत maize 200 kilos,TF_TRUCK_FIRST,0.95,0.95,0.587,maize,panipat,200.0,kg,False,,feasible,,Karnal,HR,2026-11-21,True,v0.1,test,holdout_district
REQ_3A3A441EFA7A,farmer,FRM_BCF90137F437,LOC_6F57A4C6E834,MND_316B3A33D09D,,CRP_E91C254AD588,potato,725.0,bori,36250.0,50.0,crop_default:potato,crop_default,2026-05-01T14:00:00,2026-05-01T20:59:42.454347,2026-05-02T18:13:31.958941,normal,en,voice,"please arrange transport, 725 bori potatoe, agra",TF_POLITE_REQUEST,0.95,0.95,0.95,potato,agra,725.0,bori,False,,infeasible,exceeds_max_fleet_capacity,Agra,UP,2026-05-01,True,v0.1,train,random_bucket
REQ_89D9A0E6115B,farmer,FRM_73713720510C,LOC_8EDE96E856C3,MND_05333875B51A,,CRP_5ED728C2FA5D,tomato,15150.0,kg,15150.0,,definitional,exact,2026-06-25T08:00:00,2026-06-25T17:32:15.513640,2026-06-25T21:56:08.252292,normal,hi,voice,गाड़ी भेजो muzaffarnagar टमाटार 15150 किग्रा,TF_TRUCK_FIRST,0.95,0.95,0.95,tomato,muzaffarnagar,15150.0,kg,False,,feasible,,Muzaffarnagar,UP,2026-06-25,True,v0.1,validation,random_bucket
REQ_CA0C60B7019D,farmer,FRM_2C5D31243CAC,LOC_E20B38A83CF2,MND_301551655568,,CRP_288971671685,onion,145.1,quintal,14510.0,,definitional,exact,2026-03-09T14:00:00,2026-03-09T20:42:22.037436,2026-03-10T01:02:54.934618,high,hi,voice,प्याज 145.1कुंतल kanpur,TF_TERSE,0.95,0.95,0.95,onion,kanpur,145.1,quintal,False,,feasible,,Kanpur Dehat,UP,2026-03-09,True,v0.1,test,holdout_template_family
REQ_329C12477630,farmer,FRM_8D4D313F24BD,LOC_D84DCF7F7B0F,MND_FE8D567E9001,,CRP_CAA75103C53B,gram,0.9,tonne,900.0,,definitional,exact,2026-05-09T08:00:00,2026-05-09T10:17:03.126584,2026-05-10T13:27:10.288595,normal,hi,voice,चणा 0.9टन moga mandi,TF_TERSE,0.637,0.95,0.95,gram,moga,0.9,tonne,False,,feasible,,Moga,PB,2026-05-09,True,v0.1,test,holdout_template_family
REQ_F263F8603805,farmer,FRM_004B07A18E8E,LOC_A8097A9CC6A4,MND_F02880680127,,CRP_D955CA97E44D,maize,15.8,quintal,1580.0,,definitional,exact,2026-09-21T06:00:00,2026-09-21T15:32:01.532772,2026-09-22T10:07:46.912591,normal,en,text,15.8 kuntal of maize to भिवानी,TF_QTY_CROP_MANDI,0.95,0.95,0.95,maize,bhiwani,15.8,quintal,False,,feasible,,Bhiwani,HR,2026-09-21,True,v0.1,train,random_bucket
